trajectory_index,task_id,task_group,website,correctness_score_field,score_key_used,score_value,correct,steps,tool_calls_count,total_reward,score,reward,episode_reward,return
0,uber_user_query_807,uber_user_query,uber,total_reward,score,0.0,False,19,"{'computer_use:web_search': 13, 'computer_use:visit_url': 2, 'computer_use:scroll': 3, 'computer_use:terminate': 1}",,0.0,,,
1,uber_user_query_807,uber_user_query,uber,total_reward,score,1.0714285714285714,False,28,"{'computer_use:web_search': 12, 'computer_use:visit_url': 13, 'computer_use:history_back': 2, 'computer_use:terminate': 1}",,1.0714285714285714,,,
2,calendar_user_query_1422,calendar_user_query,calendar,total_reward,score,2.4705882352941178,True,17,"{'computer_use:left_click': 15, 'computer_use:type': 1, 'computer_use:terminate': 1}",,2.4705882352941178,,,
3,calendar_user_query_587,calendar_user_query,calendar,total_reward,score,2.0,True,1,{'computer_use:terminate': 1},,2.0,,,
4,calendar_user_query_587,calendar_user_query,calendar,total_reward,score,2.0,True,1,{'computer_use:terminate': 1},,2.0,,,
5,calendar_user_query_587,calendar_user_query,calendar,total_reward,score,2.4,True,5,"{'computer_use:pause_and_memorize_fact': 1, 'computer_use:left_click': 3, 'computer_use:terminate': 1}",,2.4,,,
6,email_user_query_1354,email_user_query,email,total_reward,score,4.0,True,4,"{'computer_use:left_click': 3, 'computer_use:terminate': 1}",,4.0,,,
7,email_user_query_1354,email_user_query,email,total_reward,score,3.6666666666666665,True,3,"{'computer_use:left_click': 2, 'computer_use:terminate': 1}",,3.6666666666666665,,,
8,email_user_query_1354,email_user_query,email,total_reward,score,0.0,False,3,"{'computer_use:left_click': 2, 'computer_use:terminate': 1}",,0.0,,,
9,email_user_query_1354,email_user_query,email,total_reward,score,3.1607142857142856,True,7,"{'computer_use:left_click': 6, 'computer_use:terminate': 1}",,3.1607142857142856,,,
10,calendar_user_query_85,calendar_user_query,calendar,total_reward,score,2.0,True,4,"{'computer_use:web_search': 1, 'computer_use:left_click': 1, 'computer_use:pause_and_memorize_fact': 1, 'computer_use:terminate': 1}",,2.0,,,
11,calendar_user_query_85,calendar_user_query,calendar,total_reward,score,2.0,True,1,{'computer_use:terminate': 1},,2.0,,,
12,email_user_query_1281,email_user_query,email,total_reward,score,2.75,True,3,"{'computer_use:left_click': 2, 'computer_use:terminate': 1}",,2.75,,,
13,email_user_query_1281,email_user_query,email,total_reward,score,3.25,True,4,"{'computer_use:left_click': 3, 'computer_use:terminate': 1}",,3.25,,,
14,email_user_query_1281,email_user_query,email,total_reward,score,0.0,False,6,"{'computer_use:left_click': 5, 'computer_use:terminate': 1}",,0.0,,,
15,email_user_query_1281,email_user_query,email,total_reward,score,2.5,True,4,"{'computer_use:left_click': 3, 'computer_use:terminate': 1}",,2.5,,,
16,email_user_query_905,email_user_query,email,total_reward,score,1.0,False,1,{'computer_use:terminate': 1},,1.0,,,
17,email_user_query_21,email_user_query,email,total_reward,score,0.0,False,3,"{'computer_use:pause_and_memorize_fact': 2, 'computer_use:terminate': 1}",,0.0,,,
18,email_user_query_21,email_user_query,email,total_reward,score,3.2666666666666666,True,15,"{'computer_use:left_click': 8, 'computer_use:type': 2, 'computer_use:web_search': 2, 'computer_use:visit_url': 2, 'computer_use:terminate': 1}",,3.2666666666666666,,,
19,email_user_query_21,email_user_query,email,total_reward,score,0.20833333333333334,False,24,"{'computer_use:web_search': 10, 'computer_use:visit_url': 8, 'computer_use:left_click': 2, 'computer_use:type': 1, 'computer_use:scroll': 1, 'computer_use:pause_and_memorize_fact': 1, 'computer_use:terminate': 1}",,0.20833333333333334,,,
20,calendar_user_query_217,calendar_user_query,calendar,total_reward,score,0.4722222222222222,False,9,"{'computer_use:left_click': 6, 'computer_use:scroll': 1, 'computer_use:web_search': 1, 'computer_use:terminate': 1}",,0.4722222222222222,,,
21,email_user_query_1103,email_user_query,email,total_reward,score,3.8333333333333335,True,6,"{'computer_use:left_click': 2, 'computer_use:type': 3, 'computer_use:terminate': 1}",,3.8333333333333335,,,
22,email_user_query_1103,email_user_query,email,total_reward,score,1.6666666666666665,False,6,"{'computer_use:left_click': 2, 'computer_use:type': 3, 'computer_use:terminate': 1}",,1.6666666666666665,,,
23,email_user_query_1103,email_user_query,email,total_reward,score,1.5555555555555556,False,9,"{'computer_use:left_click': 5, 'computer_use:type': 3, 'computer_use:terminate': 1}",,1.5555555555555556,,,
24,calendar_user_query_1685,calendar_user_query,calendar,total_reward,score,3.1666666666666665,True,12,"{'computer_use:left_click': 8, 'computer_use:scroll': 2, 'computer_use:mouse_move': 1, 'computer_use:terminate': 1}",,3.1666666666666665,,,
25,calendar_user_query_1442,calendar_user_query,calendar,total_reward,score,0.42857142857142855,False,7,"{'computer_use:left_click': 5, 'computer_use:scroll': 1, 'computer_use:terminate': 1}",,0.42857142857142855,,,
26,calendar_user_query_1774,calendar_user_query,calendar,total_reward,score,1.775,False,10,"{'computer_use:left_click': 5, 'computer_use:web_search': 2, 'computer_use:history_back': 2, 'computer_use:terminate': 1}",,1.775,,,
27,email_user_query_1352,email_user_query,email,total_reward,score,4.0,True,2,"{'computer_use:type': 1, 'computer_use:terminate': 1}",,4.0,,,
